occupation,category,code,soccupation
Cooks,Service and sales workers,512,Cooks
Waiters and bartenders,Service and sales workers,513,Waiters and Bartenders
"Hairdressers, beauticians and related workers",Service and sales workers,514,"Hairdressers, Beauticians and Related Workers"
Building and housekeeping supervisors,Service and sales workers,515,Building and Housekeeping Supervisors
Other personal services workers,Service and sales workers,516,Other Personal Services Workers
Sales workers,Service and sales workers,52,Sales Workers
Street and market salespersons,Service and sales workers,521,Street and Market Salespersons
Shop salespersons,Service and sales workers,522,Shop Salespersons
Cashiers and ticket clerks,Service and sales workers,523,Cashiers and Ticket Clerks
Other sales workers,Service and sales workers,524,Other Sales Workers
Personal care workers,Service and sales workers,53,Personal Care Workers
Child care workers and teachers aides,Service and sales workers,531,Child Care Workers and Teachers Aides
Personal care workers in health services,Service and sales workers,532,Personal Care Workers in Health Services
Protective services workers,Service and sales workers,54,Protective Services Workers
Protective services workers,Service and sales workers,541,Protective Services Workers
Market-oriented skilled agricultural workers,"Skilled agricultural, forestry and fishery workers",61,Market-Oriented Skilled Agricultural Workers
Market gardeners and crop growers,"Skilled agricultural, forestry and fishery workers",611,Market Gardeners and Crop Growers
Animal producers,"Skilled agricultural, forestry and fishery workers",612,Animal Producers
Mixed crop and animal producers,"Skilled agricultural, forestry and fishery workers",613,Mixed Crop and Animal Producers
"Market-oriented skilled forestry, fishery and hunting workers","Skilled agricultural, forestry and fishery workers",62,"Market-Oriented Skilled Forestry, Fishery and Hunting Workers"
Forestry and related workers,"Skilled agricultural, forestry and fishery workers",621,Forestry and Related Workers
"Fishery workers, hunters and trappers","Skilled agricultural, forestry and fishery workers",622,"Fishery Workers, Hunters and Trappers"
"Subsistence farmers, fishers, hunters and gatherers","Skilled agricultural, forestry and fishery workers",63,"Subsistence Farmers, Fishers, Hunters and Gatherers"
Subsistence crop farmers,"Skilled agricultural, forestry and fishery workers",631,Subsistence Crop Farmers
Subsistence livestock farmers,"Skilled agricultural, forestry and fishery workers",632,Subsistence Livestock Farmers
Subsistence mixed crop and livestock farmers,"Skilled agricultural, forestry and fishery workers",633,Subsistence Mixed Crop and Livestock Farmers
"Subsistence fishers, hunters, trappers and gatherers","Skilled agricultural, forestry and fishery workers",634,"Subsistence Fishers, Hunters, Trappers and Gatherers"
"Building and related trades workers, excluding electricians",Craft and related trades workers,71,"Building and Related Trades Workers, Excluding Electricians"
Building frame and related trades workers,Craft and related trades workers,711,Building Frame and Related Trades Workers
Building finishers and related trades workers,Craft and related trades workers,712,Building Finishers and Related Trades Workers
"Painters, building structure cleaners and related trades workers",Craft and related trades workers,713,"Painters, Building Structure Cleaners and Related Trades Workers"
"Metal, machinery and related trades workers",Craft and related trades workers,72,"Metal, Machinery and Related Trades Workers"
"Sheet and structural metal workers, moulders and welders, and related workers",Craft and related trades workers,721,"Sheet and Structural Metal Workers, Moulders and Welders"
"Blacksmiths, toolmakers and related trades workers",Craft and related trades workers,722,"Blacksmiths, Toolmakers and Related Trades Workers"
Machinery mechanics and repairers,Craft and related trades workers,723,Machinery Mechanics and Repairers
Handicraft and printing workers,Craft and related trades workers,73,Handicraft and Printing Workers
Handicraft workers,Craft and related trades workers,731,Handicraft Workers
Printing trades workers,Craft and related trades workers,732,Printing Trades Workers
Electrical and electronic trades workers,Craft and related trades workers,74,Electrical and Electronic Trades Workers
Electrical equipment installers and repairers,Craft and related trades workers,741,Electrical Equipment installers and Repairers
Electronics and telecommunications installers and repairers,Craft and related trades workers,742,Electronics and Telecommunications installers and Repairers
"Food processing, wood working, garment and other craft and related trades workers",Craft and related trades workers,75,"Food Processing, Wood Working, Garment and Other Craft Workers"
Food processing and related trades workers,Craft and related trades workers,751,Food Processing and Related Trades Workers
"Wood treaters, cabinet-makers and related trades workers",Craft and related trades workers,752,"Wood Treaters, Cabinet-Makers and Related Trades Workers"
Garment and related trades workers,Craft and related trades workers,753,Garment and Related Trades Workers
Other craft and related workers,Craft and related trades workers,754,Other Craft and Related Workers
Stationary plant and machine operators,"Plant and machine operators, and assemblers",81,Stationary Plant and Machine Operators
Mining and mineral processing plant operators,"Plant and machine operators, and assemblers",811,Mining and Mineral Processing Plant Operators
Metal processing and finishing plant operators,"Plant and machine operators, and assemblers",812,Metal Processing and Finishing Plant Operators
Chemical and photographic products plant and machine operators,"Plant and machine operators, and assemblers",813,Chemical and Photographic Products Plant and Machine Operators
"Rubber, plastic and paper products machine operators","Plant and machine operators, and assemblers",814,"Rubber, Plastic and Paper Products Machine Operators"
"Textile, fur and leather products machine operators","Plant and machine operators, and assemblers",815,"Textile, Fur and Leather Products Machine Operators"
Food and related products machine operators,"Plant and machine operators, and assemblers",816,Food and Related Products Machine Operators
Wood processing and papermaking plant operators,"Plant and machine operators, and assemblers",817,Wood Processing and Papermaking Plant Operators
Other stationary plant and machine operators,"Plant and machine operators, and assemblers",818,Other Stationary Plant and Machine Operators
Assemblers,"Plant and machine operators, and assemblers",82,Assemblers
Assemblers,"Plant and machine operators, and assemblers",821,Assemblers
Drivers and mobile plant operators,"Plant and machine operators, and assemblers",83,Drivers and Mobile Plant Operators
Locomotive engine drivers and related workers,"Plant and machine operators, and assemblers",831,Locomotive Engine Drivers and Related Workers
"Car, van and motorcycle drivers","Plant and machine operators, and assemblers",832,"Car, Van and Motorcycle Drivers"
Heavy truck and bus drivers,"Plant and machine operators, and assemblers",833,Heavy Truck and Bus Drivers
Mobile plant operators,"Plant and machine operators, and assemblers",834,Mobile Plant Operators
Ships deck crews and related workers,"Plant and machine operators, and assemblers",835,Ships Deck Crews and Related Workers
Cleaners and helpers,Elementary occupations,91,Cleaners and Helpers
"Domestic, hotel and office cleaners and helpers",Elementary occupations,911,"Domestic, Hotel and Office Cleaners and Helpers"
"Vehicle, window, laundry and other hand cleaning workers",Elementary occupations,912,"Vehicle, Window, Laundry and Other Hand Cleaning Workers"
"Agricultural, forestry and fishery labourers",Elementary occupations,92,"Agricultural, Forestry and Fishery Labourers"
"Agricultural, forestry and fishery labourers",Elementary occupations,921,"Agricultural, Forestry and Fishery Labourers"
"Labourers in mining, construction, manufacturing and transport",Elementary occupations,93,"Labourers in Mining, Construction, Manufacturing and Transport"
Mining and construction labourers,Elementary occupations,931,Mining and Construction Labourers
Manufacturing labourers,Elementary occupations,932,Manufacturing Labourers
Transport and storage labourers,Elementary occupations,933,Transport and Storage Labourers
Food preparation assistants,Elementary occupations,94,Food Preparation Assistants
Food preparation assistants,Elementary occupations,941,Food Preparation Assistants
Street and related sales and service workers,Elementary occupations,95,Street and Related Sales and Service Workers
Street and related service workers,Elementary occupations,951,Street and Related Service Workers
"Street vendors ,excluding food",Elementary occupations,952,"Street Vendors, Excluding Food"
Refuse workers and other elementary workers,Elementary occupations,96,Refuse Workers and Other Elementary Workers
Refuse workers,Elementary occupations,961,Refuse Workers
Other elementary workers,Elementary occupations,962,Other Elementary Workers
Not stated,Not stated,999,Not Stated
"Unemployed ,seeking and available for work",Unemployed,2000,"Unemployed ,Seeking and Available For Work"
"Available, but not seeking work",Not in Labor Force,3000,"Available, But Not Seeking Work"
"Seeking work, but not available","Seeking work, but not available",4000,"Seeking Work, But Not Available"
Not seeking work and not available,Not seeking work and not available,5000,Not Seeking Work and Not Available
Lives on another island,Lives on another island,6000,Lives On Another Island
Not stated,Not stated,9000,Not Stated
Missing,Missing,9999,Missing
