sex,occ,sex_sp,occ_sp,total
1,216,2,112,2
1,216,2,121,1
1,216,2,122,1
1,216,2,251,1
1,216,2,264,1
1,216,2,315,1
1,216,2,332,1
1,216,2,334,1
1,216,2,411,1
1,216,2,441,1
1,216,2,3000,1
1,221,2,111,1
1,221,2,112,4
1,221,2,122,3
1,221,2,221,21
1,221,2,224,1
1,221,2,251,1
1,221,2,311,1
1,221,2,313,1
1,221,2,315,1
1,221,2,325,1
1,221,2,334,1
1,221,2,341,1
1,221,2,342,1
1,221,2,351,2
1,221,2,411,2
1,221,2,422,1
1,221,2,431,1
1,221,2,432,1
1,221,2,622,1
1,221,2,911,1
1,221,2,2100,2
1,221,2,6000,2
1,221,2,9000,3
1,222,2,111,7
1,222,2,112,7
1,222,2,121,6
1,222,2,122,3
1,222,2,132,4
1,222,2,134,3
1,222,2,142,4
1,222,2,143,2
1,222,2,214,1
1,222,2,222,13
1,222,2,224,1
1,222,2,226,1
1,222,2,230,8
1,222,2,231,1
1,222,2,233,7
1,222,2,234,2
1,222,2,235,1
1,222,2,241,1
1,222,2,242,1
1,222,2,251,1
1,222,2,261,1
1,222,2,263,1
1,222,2,264,1
1,222,2,311,3
1,222,2,312,1
1,222,2,313,2
1,222,2,315,5
1,222,2,321,5
1,222,2,325,3
1,222,2,331,4
1,222,2,332,1
1,222,2,334,8
1,222,2,335,6
1,222,2,343,1
1,222,2,351,3
1,222,2,411,11
1,222,2,422,4
1,222,2,431,1
1,222,2,432,2
1,222,2,511,2
1,222,2,515,1
1,222,2,522,3
1,222,2,523,3
1,222,2,524,2
1,222,2,541,9
1,222,2,622,12
1,222,2,711,1
1,222,2,712,2
1,222,2,721,1
1,222,2,723,1
1,222,2,742,1
1,222,2,751,1
1,222,2,818,1
1,222,2,832,5
1,222,2,835,1
1,222,2,911,3
1,222,2,962,2
1,222,2,2000,3
1,222,2,2100,2
1,222,2,3000,7
1,222,2,3100,4
1,222,2,5000,5
1,222,2,6000,15
1,222,2,9000,2
1,223,2,112,1
1,223,2,121,1
1,223,2,342,1
1,223,2,511,1
1,223,2,541,1
1,223,2,6000,1
1,223,2,9000,1
1,224,2,313,1
1,224,2,351,1
1,224,2,1100,1
1,226,2,112,2
1,226,2,134,2
1,226,2,143,1
1,226,2,226,2
1,226,2,230,1
1,226,2,241,1
1,226,2,264,1
1,226,2,311,1
1,226,2,313,2
1,226,2,315,1
1,226,2,334,1
1,226,2,335,2
1,226,2,351,2
1,226,2,411,1
1,226,2,431,1
1,226,2,432,1
1,226,2,511,3
1,226,2,522,1
1,226,2,541,6
1,226,2,611,1
1,226,2,622,3
1,226,2,711,1
1,226,2,721,1
1,226,2,723,1
1,226,2,741,1
1,226,2,742,1
1,226,2,832,2
1,226,2,933,1
1,226,2,2000,3
1,226,2,2100,1
1,226,2,3100,3
1,226,2,5000,1
1,230,2,111,31
1,230,2,112,37
1,230,2,121,15
1,230,2,122,6
1,230,2,132,16
1,230,2,133,1
1,230,2,134,36
1,230,2,141,8
1,230,2,142,30
1,230,2,143,3
1,230,2,211,2
1,230,2,214,3
1,230,2,216,7
1,230,2,221,2
1,230,2,222,1
1,230,2,230,81
1,230,2,231,4
1,230,2,233,7
1,230,2,234,1
1,230,2,235,8
1,230,2,241,8
1,230,2,242,1
1,230,2,243,1
1,230,2,251,2
1,230,2,261,3
1,230,2,263,4
1,230,2,264,3
1,230,2,265,1
1,230,2,311,24
1,230,2,312,4
1,230,2,313,8
1,230,2,315,21
1,230,2,325,4
1,230,2,331,3
1,230,2,332,4
1,230,2,334,21
1,230,2,335,6
1,230,2,341,6
1,230,2,342,2
1,230,2,343,1
1,230,2,351,3
1,230,2,352,6
1,230,2,411,41
1,230,2,422,1
1,230,2,431,2
1,230,2,432,7
1,230,2,441,2
1,230,2,511,12
1,230,2,513,4
1,230,2,515,2
1,230,2,521,2
1,230,2,522,17
1,230,2,523,4
1,230,2,524,2
1,230,2,532,3
1,230,2,541,56
1,230,2,611,3
1,230,2,622,52
1,230,2,711,20
1,230,2,712,2
1,230,2,721,2
1,230,2,723,5
1,230,2,731,3
1,230,2,732,2
1,230,2,741,5
1,230,2,742,1
1,230,2,751,4
1,230,2,753,1
1,230,2,754,3
1,230,2,815,2
1,230,2,818,2
1,230,2,832,21
1,230,2,833,8
1,230,2,835,13
1,230,2,911,23
1,230,2,931,4
1,230,2,932,1
1,230,2,933,4
1,230,2,961,2
1,230,2,962,2
1,230,2,1100,3
1,230,2,2000,14
1,230,2,2100,12
1,230,2,3000,11
1,230,2,3100,7
1,230,2,4000,3
1,230,2,5000,14
1,230,2,6000,81
1,230,2,9000,3
1,231,2,111,3
1,231,2,112,9
1,231,2,121,5
1,231,2,122,1
1,231,2,132,3
1,231,2,134,2
1,231,2,142,4
1,231,2,143,1
1,231,2,216,5
1,231,2,221,1
1,231,2,231,6
1,231,2,241,2
1,231,2,243,1
1,231,2,261,2
1,231,2,311,1
1,231,2,313,1
1,231,2,315,3
1,231,2,334,1
1,231,2,335,2
1,231,2,341,1
1,231,2,343,1
1,231,2,351,2
1,231,2,352,2
1,231,2,411,2
1,231,2,432,1
1,231,2,511,2
1,231,2,522,2
1,231,2,541,3
1,231,2,818,1
1,231,2,832,1
1,231,2,932,1
1,231,2,1100,1
1,231,2,2000,2
1,231,2,2100,3
1,231,2,3000,3
1,231,2,3100,4
1,231,2,5000,4
1,231,2,6000,2
1,232,2,312,1
1,232,2,911,1
1,233,2,111,13
1,233,2,112,15
1,233,2,121,10
1,233,2,122,9
1,233,2,132,8
1,233,2,133,2
1,233,2,134,17
1,233,2,141,7
1,233,2,142,13
1,233,2,143,5
1,233,2,211,1
1,233,2,214,2
1,233,2,221,1
1,233,2,230,5
1,233,2,231,4
1,233,2,233,62
1,233,2,234,9
1,233,2,235,1
1,233,2,241,4
1,233,2,243,1
1,233,2,251,1
1,233,2,261,1
1,233,2,262,1
1,233,2,263,2
1,233,2,264,1
1,233,2,311,6
1,233,2,312,1
1,233,2,313,2
1,233,2,315,6
1,233,2,331,6
1,233,2,332,7
1,233,2,334,18
1,233,2,335,10
1,233,2,341,3
1,233,2,342,1
1,233,2,351,8
1,233,2,352,1
1,233,2,411,18
1,233,2,431,1
1,233,2,432,1
1,233,2,441,1
1,233,2,511,4
1,233,2,515,3
1,233,2,522,3
1,233,2,524,1
1,233,2,532,1
1,233,2,541,20
1,233,2,622,10
1,233,2,711,2
1,233,2,712,2
1,233,2,721,1
1,233,2,723,2
1,233,2,732,2
1,233,2,741,1
1,233,2,742,2
1,233,2,753,1
1,233,2,818,1
1,233,2,832,7
1,233,2,833,3
1,233,2,835,4
1,233,2,911,11
1,233,2,933,1
1,233,2,962,1
1,233,2,1100,2
1,233,2,2000,9
1,233,2,2100,8
1,233,2,3000,6
1,233,2,3100,5
1,233,2,4000,1
1,233,2,5000,18
1,233,2,6000,49
1,233,2,9000,3
1,234,2,111,19
1,234,2,112,38
1,234,2,121,10
1,234,2,122,11
1,234,2,132,12
1,234,2,134,20
1,234,2,141,3
1,234,2,142,32
1,234,2,143,14
1,234,2,214,3
1,234,2,216,5
1,234,2,221,1
1,234,2,226,1
1,234,2,230,12
1,234,2,231,3
1,234,2,233,20
1,234,2,234,17
1,234,2,235,1
1,234,2,241,1
1,234,2,242,1
1,234,2,252,2
1,234,2,261,4
1,234,2,263,6
1,234,2,265,4
1,234,2,311,13
1,234,2,312,9
1,234,2,313,15
1,234,2,315,14
1,234,2,321,1
1,234,2,325,4
1,234,2,331,6
1,234,2,332,4
1,234,2,334,29
1,234,2,335,14
1,234,2,341,1
1,234,2,342,7
1,234,2,343,4
1,234,2,351,8
1,234,2,352,3
1,234,2,411,44
1,234,2,412,1
1,234,2,421,1
1,234,2,422,3
1,234,2,431,10
1,234,2,432,6
1,234,2,441,4
1,234,2,511,5
1,234,2,513,10
1,234,2,515,2
1,234,2,522,18
1,234,2,523,4
1,234,2,524,2
1,234,2,532,1
1,234,2,541,62
1,234,2,611,3
1,234,2,622,30
1,234,2,711,23
1,234,2,712,4
1,234,2,713,1
1,234,2,721,2
1,234,2,723,4
1,234,2,731,2
1,234,2,732,2
1,234,2,741,1
1,234,2,742,1
1,234,2,751,1
1,234,2,754,1
1,234,2,815,1
1,234,2,818,1
1,234,2,832,12
1,234,2,833,3
1,234,2,834,2
1,234,2,835,9
1,234,2,911,16
1,234,2,931,2
1,234,2,933,7
1,234,2,941,1
1,234,2,962,6
1,234,2,2000,10
1,234,2,2100,14
1,234,2,3000,6
1,234,2,3100,18
1,234,2,4000,1
1,234,2,5000,19
1,234,2,6000,89
1,234,2,9000,4
1,235,2,111,3
1,235,2,112,5
1,235,2,121,10
1,235,2,122,4
1,235,2,132,7
1,235,2,133,2
1,235,2,134,4
1,235,2,141,4
1,235,2,142,11
1,235,2,214,2
1,235,2,216,1
1,235,2,221,1
1,235,2,230,5
1,235,2,231,3
1,235,2,233,3
1,235,2,235,4
1,235,2,241,1
1,235,2,261,2
1,235,2,263,6
1,235,2,264,1
1,235,2,265,1
1,235,2,311,7
1,235,2,312,7
1,235,2,313,2
1,235,2,315,14
1,235,2,321,1
1,235,2,325,1
1,235,2,334,19
1,235,2,335,9
1,235,2,341,2
1,235,2,343,2
1,235,2,351,4
1,235,2,411,12
1,235,2,412,2
1,235,2,421,1
1,235,2,422,1
1,235,2,431,3
1,235,2,432,2
1,235,2,511,3
1,235,2,513,1
1,235,2,514,1
1,235,2,522,6
1,235,2,523,1
1,235,2,524,1
1,235,2,541,15
1,235,2,611,2
1,235,2,622,29
1,235,2,711,20
1,235,2,712,1
1,235,2,721,3
1,235,2,722,1
1,235,2,723,5
1,235,2,731,1
1,235,2,732,1
1,235,2,741,2
1,235,2,751,3
1,235,2,818,2
1,235,2,832,7
1,235,2,833,6
1,235,2,835,1
1,235,2,911,11
1,235,2,931,2
1,235,2,933,5
1,235,2,962,3
1,235,2,2000,3
1,235,2,2100,2
1,235,2,3000,7
1,235,2,3100,8
1,235,2,5000,21
1,235,2,6000,47
1,235,2,9999,1
1,241,2,112,9
1,241,2,121,7
1,241,2,122,4
1,241,2,132,1
1,241,2,133,1
1,241,2,141,1
1,241,2,142,3
1,241,2,143,3
1,241,2,214,1
1,241,2,216,2
1,241,2,221,2
1,241,2,230,2
1,241,2,231,1
1,241,2,241,8
1,241,2,243,1
1,241,2,251,2
