sex,occ,sex_sp,occ_sp,total
1,222,2,235,100
1,222,2,241,100
1,222,2,251,100
1,222,2,261,100
1,222,2,263,100
1,222,2,264,100
1,222,2,311,100
1,222,2,313,100
1,222,2,315,300
1,222,2,321,500
1,222,2,325,100
1,222,2,331,400
1,222,2,334,400
1,222,2,335,300
1,222,2,343,100
1,222,2,351,300
1,222,2,411,500
1,222,2,422,400
1,222,2,432,100
1,222,2,511,100
1,222,2,515,100
1,222,2,522,200
1,222,2,524,200
1,222,2,541,400
1,222,2,622,500
1,222,2,711,100
1,222,2,712,100
1,222,2,721,100
1,222,2,742,100
1,222,2,832,300
1,222,2,835,100
1,222,2,911,200
1,222,2,962,200
1,222,2,2000,100
1,222,2,3000,700
1,222,2,5000,500
1,222,2,6000,1500
1,222,2,9000,100
1,223,2,112,100
1,223,2,121,100
1,223,2,342,100
1,223,2,511,100
1,223,2,6000,100
1,223,2,9000,100
1,224,2,11,100
1,226,2,21,100
1,226,2,31,100
1,226,2,112,200
1,226,2,134,200
1,226,2,143,100
1,226,2,226,200
1,226,2,230,100
1,226,2,241,100
1,226,2,264,100
1,226,2,311,100
1,226,2,313,100
1,226,2,335,200
1,226,2,351,100
1,226,2,411,100
1,226,2,431,100
1,226,2,432,100
1,226,2,511,200
1,226,2,522,100
1,226,2,541,600
1,226,2,611,100
1,226,2,721,100
1,226,2,723,100
1,226,2,741,100
1,226,2,832,100
1,226,2,933,100
1,226,2,2000,200
1,226,2,5000,100
1,230,2,11,300
1,230,2,21,600
1,230,2,31,200
1,230,2,111,2300
1,230,2,112,2600
1,230,2,121,1300
1,230,2,122,600
1,230,2,132,900
1,230,2,133,100
1,230,2,134,3300
1,230,2,141,500
1,230,2,142,2100
1,230,2,143,100
1,230,2,211,100
1,230,2,214,100
1,230,2,216,400
1,230,2,230,6100
1,230,2,231,400
1,230,2,233,500
1,230,2,234,100
1,230,2,235,800
1,230,2,241,500
1,230,2,242,100
1,230,2,251,200
1,230,2,261,300
1,230,2,263,400
1,230,2,264,200
1,230,2,311,1200
1,230,2,312,300
1,230,2,313,500
1,230,2,315,1100
1,230,2,325,200
1,230,2,331,200
1,230,2,332,400
1,230,2,334,1200
1,230,2,335,400
1,230,2,341,300
1,230,2,342,100
1,230,2,343,100
1,230,2,351,200
1,230,2,352,500
1,230,2,411,2600
1,230,2,422,100
1,230,2,431,200
1,230,2,432,300
1,230,2,441,200
1,230,2,511,500
1,230,2,515,100
1,230,2,521,200
1,230,2,522,1200
1,230,2,523,100
1,230,2,524,200
1,230,2,532,200
1,230,2,541,3200
1,230,2,611,300
1,230,2,622,2300
1,230,2,711,1300
1,230,2,712,200
1,230,2,721,200
1,230,2,723,300
1,230,2,731,200
1,230,2,732,100
1,230,2,741,400
1,230,2,742,100
1,230,2,751,300
1,230,2,753,100
1,230,2,754,100
1,230,2,815,100
1,230,2,832,1600
1,230,2,833,400
1,230,2,835,700
1,230,2,911,1400
1,230,2,931,200
1,230,2,933,300
1,230,2,961,200
1,230,2,962,100
1,230,2,2000,700
1,230,2,3000,700
1,230,2,4000,300
1,230,2,5000,1100
1,230,2,6000,8300
1,230,2,9000,300
1,231,2,11,100
1,231,2,21,200
1,231,2,31,300
1,231,2,111,300
1,231,2,112,900
1,231,2,121,400
1,231,2,122,100
1,231,2,132,200
1,231,2,134,200
1,231,2,142,300
1,231,2,143,100
1,231,2,216,300
1,231,2,221,100
1,231,2,231,400
1,231,2,241,100
1,231,2,243,100
1,231,2,261,200
1,231,2,311,100
1,231,2,313,100
1,231,2,315,300
1,231,2,334,100
1,231,2,335,100
1,231,2,351,200
1,231,2,352,200
1,231,2,411,200
1,231,2,432,100
1,231,2,511,100
1,231,2,522,200
1,231,2,541,200
1,231,2,818,100
1,231,2,2000,100
1,231,2,3000,200
1,231,2,5000,300
1,231,2,6000,200
1,232,2,312,100
1,232,2,911,100
1,233,2,11,200
1,233,2,21,700
1,233,2,31,500
1,233,2,111,800
1,233,2,112,1300
1,233,2,121,800
1,233,2,122,800
1,233,2,132,400
1,233,2,133,100
1,233,2,134,1300
1,233,2,141,400
1,233,2,142,900
1,233,2,143,400
1,233,2,211,100
1,233,2,214,200
1,233,2,221,100
1,233,2,230,400
1,233,2,231,400
1,233,2,233,5200
1,233,2,234,700
1,233,2,241,400
1,233,2,261,100
1,233,2,262,100
1,233,2,263,200
1,233,2,264,100
1,233,2,311,500
1,233,2,312,100
1,233,2,313,100
1,233,2,315,400
1,233,2,331,400
1,233,2,332,600
1,233,2,334,1200
1,233,2,335,900
1,233,2,341,100
1,233,2,342,100
1,233,2,351,500
1,233,2,352,100
1,233,2,411,1300
1,233,2,431,100
1,233,2,432,100
1,233,2,511,200
1,233,2,515,100
1,233,2,522,100
1,233,2,541,1300
1,233,2,622,500
1,233,2,711,100
1,233,2,712,200
1,233,2,721,100
1,233,2,723,100
1,233,2,732,200
1,233,2,741,100
1,233,2,742,100
1,233,2,753,100
1,233,2,818,100
1,233,2,832,600
1,233,2,833,200
1,233,2,835,300
1,233,2,911,700
1,233,2,921,100
1,233,2,933,100
1,233,2,2000,800
1,233,2,3000,300
1,233,2,4000,100
1,233,2,5000,1500
1,233,2,6000,4700
1,233,2,9000,200
1,234,2,21,1100
1,234,2,31,1100
1,234,2,111,900
1,234,2,112,2600
1,234,2,121,700
1,234,2,122,900
1,234,2,132,900
1,234,2,134,1500
1,234,2,141,100
1,234,2,142,2300
1,234,2,143,800
1,234,2,214,300
1,234,2,216,300
1,234,2,221,100
1,234,2,226,100
1,234,2,230,800
1,234,2,231,300
1,234,2,233,1400
1,234,2,234,1100
1,234,2,235,100
1,234,2,241,100
1,234,2,252,200
1,234,2,261,300
1,234,2,263,500
1,234,2,265,100
1,234,2,311,900
1,234,2,312,900
1,234,2,313,700
1,234,2,315,1000
1,234,2,321,100
1,234,2,325,300
1,234,2,331,200
1,234,2,332,300
1,234,2,334,1900
1,234,2,335,900
1,234,2,341,100
1,234,2,342,400
1,234,2,343,100
1,234,2,351,500
1,234,2,352,200
1,234,2,411,2400
1,234,2,422,200
1,234,2,431,500
1,234,2,432,500
1,234,2,441,200
1,234,2,511,100
1,234,2,513,300
1,234,2,515,200
1,234,2,522,1200
1,234,2,523,300
1,234,2,524,100
1,234,2,541,2100
1,234,2,611,200
1,234,2,622,600
1,234,2,711,1600
1,234,2,712,100
1,234,2,721,200
1,234,2,723,100
1,234,2,731,200
1,234,2,751,100
1,234,2,754,100
1,234,2,832,800
1,234,2,833,100
1,234,2,835,700
1,234,2,911,1200
1,234,2,931,100
1,234,2,933,500
1,234,2,962,400
1,234,2,2000,300
1,234,2,3000,300
1,234,2,5000,1600
1,234,2,6000,8800
1,234,2,9000,300
1,235,2,21,200
1,235,2,31,700
1,235,2,111,200
1,235,2,112,500
1,235,2,121,800
1,235,2,122,300
1,235,2,132,600
1,235,2,133,200
1,235,2,134,200
1,235,2,141,400
1,235,2,142,1100
1,235,2,214,200
1,235,2,216,100
1,235,2,221,200
1,235,2,230,400
1,235,2,231,300
1,235,2,233,300
1,235,2,235,500
1,235,2,241,100
1,235,2,261,200
1,235,2,263,500
1,235,2,264,100
1,235,2,311,700
1,235,2,312,500
1,235,2,313,200
1,235,2,315,1200
1,235,2,325,100
1,235,2,334,1900
1,235,2,335,600
1,235,2,343,200
1,235,2,351,400
1,235,2,411,800
1,235,2,412,200
1,235,2,421,100
1,235,2,422,100
1,235,2,431,200
1,235,2,511,200
1,235,2,514,100
1,235,2,522,900
1,235,2,523,100
1,235,2,524,100
1,235,2,541,1300
1,235,2,611,200
1,235,2,622,2300
1,235,2,711,1700
1,235,2,712,100
1,235,2,721,300
1,235,2,722,300
1,235,2,723,500
1,235,2,732,100
1,235,2,741,200
1,235,2,751,100
1,235,2,818,200
1,235,2,832,700
1,235,2,833,600
1,235,2,835,100
1,235,2,911,800
1,235,2,931,200
1,235,2,933,500
1,235,2,962,400
1,235,2,2000,300
1,235,2,3000,700
1,235,2,4000,100
1,235,2,5000,2000
1,235,2,6000,4500
1,235,2,9999,100
1,241,2,31,100
1,241,2,112,700
1,241,2,121,700
1,241,2,122,400
1,241,2,132,100
1,241,2,133,100
1,241,2,141,100
1,241,2,142,200
1,241,2,143,300
1,241,2,216,200
1,241,2,221,200
1,241,2,230,200
1,241,2,231,100
1,241,2,241,800
1,241,2,243,100
1,241,2,251,100
1,241,2,252,100
1,241,2,311,200
1,241,2,312,300
1,241,2,331,300
1,241,2,334,200
1,241,2,335,200
1,241,2,343,100
1,241,2,411,100
1,241,2,412,200
1,241,2,511,200
1,241,2,541,200
1,241,2,711,100
1,241,2,833,100
1,241,2,931,100
1,241,2,5000,400
1,241,2,6000,300
1,242,2,31,100
1,242,2,112,200
1,242,2,132,200
1,242,2,134,200
1,242,2,143,100
1,242,2,261,100
1,242,2,265,100
1,242,2,313,100
1,242,2,315,100
1,242,2,343,100
1,242,2,351,200
1,242,2,4000,100
1,243,2,112,100
1,243,2,132,100
1,251,2,121,100
1,251,2,133,100
1,251,2,2000,100
1,252,2,133,100
1,252,2,214,100
1,261,2,21,200
1,261,2,31,300
1,261,2,112,400
1,261,2,121,100
1,261,2,122,300
1,261,2,132,200
1,261,2,142,100
1,261,2,221,100
1,261,2,251,100
1,261,2,261,300
1,261,2,334,300
1,261,2,335,300
1,261,2,341,100
1,261,2,411,100
1,261,2,421,100
1,261,2,541,200
1,261,2,911,200
1,262,2,31,100
1,262,2,112,200
1,262,2,132,100
1,262,2,134,200
1,262,2,142,100
1,262,2,143,100
1,262,2,263,100
1,262,2,334,700
1,262,2,335,100
1,262,2,341,300
1,262,2,6000,100
1,263,2,112,300
1,263,2,122,100
1,263,2,142,200
1,263,2,143,100
1,263,2,261,100
1,263,2,315,400
1,263,2,325,100
1,263,2,351,200
1,263,2,411,300
1,263,2,422,100
1,263,2,522,200
1,263,2,523,300
1,263,2,541,200
1,263,2,611,300
1,263,2,622,400
1,263,2,711,300
1,263,2,835,100
1,263,2,911,100
1,263,2,3000,200
1,263,2,5000,400
1,263,2,9000,200
1,264,2,11,100
1,264,2,31,100
1,264,2,112,500
1,264,2,122,100
1,264,2,142,100
1,264,2,143,200
1,264,2,216,100
1,264,2,241,100
1,264,2,334,100
1,264,2,335,100
1,264,2,342,100
1,264,2,352,200
1,264,2,541,200
1,264,2,833,100
1,264,2,3000,100
1,265,2,112,100
1,265,2,121,100
1,265,2,122,100
1,265,2,132,200
1,265,2,265,300
1,265,2,313,100
1,265,2,315,100
1,265,2,332,200
1,265,2,411,100
1,265,2,541,400
1,265,2,832,100
1,265,2,933,100
1,265,2,962,100
1,265,2,6000,100
1,311,2,143,100
1,311,2,311,100
1,311,2,522,100
1,311,2,6000,100
1,312,2,112,100
1,312,2,122,100
1,312,2,132,100
1,312,2,325,100
1,312,2,711,100
1,312,2,5000,100
1,312,2,6000,200
1,315,2,142,200
1,315,2,143,200
1,315,2,216,100
1,315,2,315,200
1,315,2,421,100
1,315,2,432,100
1,315,2,911,200
1,321,2,21,100
1,321,2,121,200
1,321,2,122,100
1,321,2,132,300
1,321,2,134,200
1,321,2,142,100
1,321,2,230,200
1,321,2,233,100
1,321,2,234,100
1,321,2,243,100
1,321,2,261,100
1,321,2,264,100
1,321,2,315,300
1,321,2,321,300
1,321,2,332,100
1,321,2,334,100
1,321,2,335,100
1,321,2,343,100
1,321,2,351,200
1,321,2,352,100
1,321,2,432,200
1,321,2,511,100
1,321,2,522,100
